Source,Target,value
Esterad,Gaudemunda,12
Duke,Gaudemunda,4
Duke,Guiscard,13
Juan,Lorenzo,6
Juan,Julia,6
Guiscard,Julia,3
Guiscard,Zuleyka,12
Gaudemunda,Guiscard,5
Guiscard,Tankred,6
Esterad,Tankred,5
Esterad,Ithlinne,4
Esterad,Yennefer,6
Guthlaf,Yennefer,21
Sigrdrifa,Yennefer,24
Ciri,Sigrdrifa,18
Vissegerd,Yennefer,4
Foltest,Triss,4
Foltest,Philippa,14
Ciri,Radcliffe,4
Ciri,Geoffrey,6
Buyvid,Vysogota,4
Buyvid,Ciri,3
Hjalmar,Yennefer,7
Ciri,Hjalmar,10
Ciri,Radovid,10
Guthlaf,Hjalmar,7
Dacre,Ola,22
Ola,Til,6
Falka,Til,2
Bert,Dacre,14
Neratin,Til,7
Rience,Stefan,3
Rience,Scarra,7
Dacre,Stigward,3
Chloe,Ola,9
Falka,Rience,2
Ithlinne,Vilgefortz,2
Neratin,Stigward,4
Chloe,Stigward,9
Bert,Til,6
Boreas,Til,6
Ciri,Dede,4
Andres,Boreas,1
Ciri,Cyprian,4
Cyprian,Yuz,8
Dede,Yuz,7
Falka,Yuz,3
Dede,Falka,4
Cyprian,Falka,3
Dacre,Dede,4
Dacre,Rispat,3
Eurneid,Nenneke,21
Eurneid,Milo,1
Milo,Nenneke,4
Eurneid,Jarre,3
Gosta,Triss,2
Joanna,Vilgefortz,2
Boreas,Stefan,9
Ola,Rience,6
Joanna,Ola,2
Dacre,Rience,4
Bert,Two,6
Boreas,Ola,6
Bert,Stigward,9
Boreas,Dacre,10
Ola,Stefan,1
Eurneid,Kelpie,4
Lambert,Yarpen,4
Fabio,Paulie,5
Jarre,Tissaia,5
Arthur,Merlin,11
Condwiramurs,Lebioda,3
Condwiramurs,Nimue,166
Condwiramurs,Two,6
Ciri,Condwiramurs,36
Condwiramurs,Geralt,6
Condwiramurs,Yennefer,5
Geralt,Nimue,3
Lydia,Nimue,2
Emhyr,Fiona,1
Emhyr,Nimue,3
Nimue,Vilgefortz,2
Condwiramurs,Emhyr,7
Condwiramurs,Dandelion,7
Dandelion,Jarre,5
Francesca,Margarita,19
Condwiramurs,Fringilla,6
Condwiramurs,Vilgefortz,5
Stefan,Yennefer,9
Condwiramurs,Rience,5
Geralt,Reynart,36
Anna,Reynart,7
Dandelion,Reynart,4
Cahir,Reynart,8
Dandelion,Fringilla,9
Fringilla,Reynart,1
Alcides,Malatesta,3
Fringilla,Milva,25
Anna,Ciri,7
Anna,Dandelion,11
Dandelion,Pavetta,3
Geralt,Jean,6
Geralt,Palmerin,8
Milva,Reynart,3
Anna,Fringilla,6
Baron,Fringilla,5
Fringilla,Fulko,2
Anna,Roach,6
Geralt,Maria,2
Alcides,Geralt,13
Joachim,Vilgefortz,6
Joachim,Stefan,9
Emhyr,Prince,6
Fringilla,Vilgefortz,22
April,Vilgefortz,3
April,Fringilla,5
Keira,Vilgefortz,9
Geralt,Guy,3
Ciri,Cregennan,2
Kelpie,Vesemir,4
Ciri,Eredin,27
Aen,Auberon,6
Auberon,Ciri,25
Auberon,Geralt,6
Aen,Ciri,4
Anna,Auberon,3
Eredin,Kelpie,5
Kelpie,Yennefer,17
Ciri,Ihuarraquax,8
Ihuarraquax,Kelpie,15
Ihuarraquax,Lara,5
Ciri,Joachim,1
Jarre,Okultich,12
Jarre,Milton,12
Milton,Ograbek,18
Jarre,Ograbek,6
Jarre,Pike,54
Jarre,Klaproth,7
Klaproth,Pike,6
Pike,Two,5
Jarre,Two,10
Ograbek,Pike,1
Okultich,Pike,25
Milton,Pike,10
Goidemar,Klaproth,2
Goidemar,Jarre,1
Adam,Lorenzo,11
Julia,Lorenzo,21
Klaproth,Okultich,6
Cirilla,Jarre,8
Dennis,Jarre,40
Dennis,Nenneke,10
Jarre,Zoltan,10
Dennis,Zoltan,12
Dennis,Sheldon,6
Jarre,Sheldon,11
Sheldon,Zoltan,10
Menno,Zoltan,10
Jarre,Menno,5
Dennis,Elkana,4
Dennis,Vissegerd,5
Dennis,Yarpen,5
Emhyr,Yarpen,1
Emhyr,Zoltan,1
Emhyr,Sheldon,4
Dennis,Evangelina,2
Ciri,Dennis,2
Klaproth,Milton,6
Incarvilia,Milton,8
Impatientia,Incarvilia,3
Incarvilia,Milo,3
Holofernes,Incarvilia,3
Holofernes,Petunia,11
Holofernes,Milton,4
Holofernes,Klaproth,5
Klaproth,Petunia,5
Kelpie,Lara,4
Kelpie,Nimue,1
Kelpie,Two,9
Eurneid,Fabio,3
Geralt,Kelpie,21
Ithlinne,Nimue,5
Condwiramurs,Ithlinne,4
Colonel,Julia,2
Adam,Barclay,6
Elan,Kees,6
Kees,Ramon,3
Andy,Didi,6
Adam,Jarre,4
Aubry,Jarre,2
Anzelm,Foltest,4
Foltest,Julia,18
Barclay,Julia,2
Dennis,Two,4
Aubry,Barclay,1
Aubry,Julia,3
Julia,Marti,2
Kees,Marti,2
Kees,Menno,5
Isengrim,Kees,1
Isengrim,Menno,5
Iola,Marti,10
Iola,Triss,2
Eurneid,Katje,6
Katje,Myrrha,6
Jarre,Myrrha,5
Marti,Shani,13
Daniel,Shani,5
Julia,Shani,2
Count,Kobus,4
Lamarr,Ouder,5
Elan,Zyvik,1
Kees,Ouder,1
Ouder,Shani,1
Anzelm,Shani,2
Jarre,Marti,2
Deuslax,Jarre,3
Jarre,Mama,5
Menno,Sievers,4
Caleb,Munro,3
Caleb,Jarre,3
Adam,Menno,2
Adam,Julia,15
Pavetta,Vilgefortz,19
Milva,Vilgefortz,5
Count,Stefan,3
Cahir,Dyffryn,6
Aillil,Cahir,18
Aillil,Gruffyd,5
Ceallach,Gruffyd,6
Aillil,Mawr,10
Leo,Yennefer,6
Emhyr,Pavetta,6
Braathens,Ciri,4
Effenberg,Emhyr,2
Cirilla,Foltest,2
Pavetta,Triss,5
Foltest,Shilard,14
Henselt,Meve,5
Demavend,Sabrina,4
Demavend,Francesca,12
Demavend,Philippa,8
Berengar,Fitz-Oesterlen,13
Baron,Fitz-Oesterlen,5
Calanthe,Fitz-Oesterlen,5
Fitz-Oesterlen,Philippa,3
Philippa,Vattier,2
Berengar,Emhyr,4
Meve,Roegner,5
Kistrin,Shilard,2
Ciri,Corbett,1
Corbett,Dagorad,6
Dagorad,Roegner,6
Philippa,Roegner,3
Istvan,Orestes,3
Istvan,Vascoigne,1
Lorenzo,Radovid,1
Philippa,Sigismund,4
Sigismund,Willemer,5
Jarre,Lucienne,72
Lucienne,Two,3
Jarre,Toruviel,1
Lucienne,Toruviel,5
Bertram,Stefan,13
Edmund,Jean,3
Nicodemus,Vilgefortz,3
Albert,Nicodemus,4
Philippa,Willemer,6
Boreas,Willemer,4
Dandelion,Kelpie,14
Ciri,Reynart,15
Assire,Triss,6
Pavetta,Philippa,6
Geralt,Margarita,10
Dandelion,Nadia,1
Yarpen,Zoltan,32
Dandelion,Yarpen,4
Two,Yarpen,4
Regan,Yazon,6
Eudora,Zoltan,7
Eudora,Yarpen,4
Dezmod,Yennefer,2
Dezmod,Geralt,14
Cerro,Yarpen,4
Cerro,Zoltan,2
Dezmod,Zoltan,3
Kelpie,Triss,16
Alzur,Triss,4
Alzur,Yennefer,10
Condwiramurs,Triss,3
Nimue,Triss,3
Milva,Triss,4
Caleb,Lytta,5
Ciri,Lytta,4
Eurneid,Yarpen,6
Milva,Vesemir,6
Kelpie,Sandy,3
Sandy,Yennefer,4
Dorregaray,Triss,16
Herwig,Yennefer,6
Herwig,Nenneke,27
Vesemir,Yennefer,5
Freya,Geralt,10
Freya,Loki,5
Loki,Ragnar,10
Caldemeyn,Loki,4
Caldemeyn,Yarpen,5
Chireadan,Yarpen,11
Dainty,Gardenia,6
Dudu,Gardenia,5
Braenn,Dudu,5
Braenn,Morenn,6
Cirilla,Morenn,12
Cirilla,Mona,24
Kashka,Mona,23
Kashka,Morenn,21
Freixenet,Kashka,21
Braenn,Nenneke,5
Ethain,Sh'eenaz,2
Ethain,Venzlav,6
Matholm,Venzlav,6
Matholm,Sigismund,6
Devereux,Sigismund,6
Adda,Devereux,6
Adda,Sulivoy,5
Matholm,Sulivoy,12
Devereux,Matholm,12
Devereux,Villentretenmerth,5
Freixenet,Freya,6
Freya,Sulivoy,5
Dandelion,Devereux,5
Annika,Caldemeyn,18
Caldemeyn,Villentretenmerth,10
Merle,Villentretenmerth,10
Merle,Radcliffe,2
Dorregaray,Radcliffe,11
Dorregaray,Kashka,6
Cirilla,Freixenet,6
Mona,Ragnar,5
Matholm,Ragnar,6
Matholm,Morenn,6
Freixenet,Morenn,6
Braenn,Freya,6
Dandelion,Freya,10
Dandelion,Freixenet,12
Caldemeyn,Freixenet,6
Caldemeyn,Radcliffe,5
Freya,Radcliffe,5
Freya,Willem,3
Willem,Yarpen,3
Sh'eenaz,Yarpen,9
Nenneke,Sh'eenaz,5
Nenneke,Ragnar,1
Eurneid,Ragnar,6
Chireadan,Jarre,4
Chireadan,Eskel,5
Triss,Villentretenmerth,4
Geralt,Merle,1
Dandelion,Herwig,7
Gardenia,Nenneke,6
Dandelion,Gardenia,5
Agloval,Braenn,5
Braenn,Kashka,5
Kashka,Loki,8
Herwig,Loki,16
Dainty,Herwig,5
Freya,Kelpie,4
Kashka,Lily,5
Dainty,Lily,6
Annika,Dainty,4
Caldemeyn,Ciri,5
Iola,Kelpie,5
Caldemeyn,Yennefer,5
Caldemeyn,Triss,5
Dainty,Eskel,5
Eurneid,Yennefer,5
Freixenet,Yarpen,11
Dandelion,Loki,5
Kashka,Nenneke,4
Geralt,Herwig,3
Geralt,Mona,6
Dorregaray,Mona,2
Loki,Radcliffe,5
Ciri,Loki,9
Herwig,Radcliffe,3
Ciri,Herwig,9
Ciri,Dorregaray,3
Ciri,Galahad,11
Eskel,Nenneke,6
Freixenet,Sh'eenaz,11
Galahad,Kashka,5
Galahad,Geralt,6
Annika,Geralt,4
Sh'eenaz,Villentretenmerth,6
Chireadan,Gardenia,3
Freya,Gardenia,4
Dandelion,Vissing,5
Vissing,Yennefer,4
