Source,Target,value
Sh'eenaz,Yennefer,16
Agloval,Essi,3
Agloval,Dandelion,6
Ebbing,Juan,6
Essi,Juan,3
Cynthia,Essi,5
Braenn,Ciri,71
Braenn,Geralt,103
Braenn,Kistrin,9
Geralt,Kistrin,32
Marck,Voymir,5
Geralt,Voymir,5
Braenn,Voymir,6
Ciri,Kistrin,45
Alvina,Ciri,3
Ciri,Geralt,842
Braenn,Vesemir,6
Ciri,Vesemir,63
Ervyll,Geralt,5
Freixenet,Geralt,24
Ciri,Freixenet,14
Geralt,Venzlav,30
Ekkehard,Venzlav,5
Ekkehard,Viraxas,5
Ervyll,Freixenet,6
Braenn,Freixenet,24
Ciri,Venzlav,7
Ciri,Morenn,3
Geralt,Morenn,3
Morenn,Venzlav,1
Braenn,Mona,15
Ciri,Pavetta,80
Ciri,Two,21
Ciri,Ervyll,5
Brick,Ciri,9
Ervyll,Venzlav,11
Ervyll,Viraxas,6
Geralt,Viraxas,4
Geralt,Junghans,2
Brick,Venzlav,2
Ciri,Levecque,9
Ervyll,Levecque,13
Ciri,King,4
King,Venzlav,5
Junghans,Levecque,18
Ciri,Junghans,12
Geralt,Levecque,16
Brick,Levecque,6
Ciri,Mousesack,6
Ciri,Yurga,4
Geralt,Yurga,35
Geralt,Visenna,15
Triss,Yurga,4
Atlan,Triss,6
Atlan,Vanielle,6
Vanielle,Yurga,6
Geralt,Lytta,9
Roach,Yurga,4
Roach,Two,4
Ciri,Dandelion,47
Nadbor,Sulik,5
Cirilla,Yennefer,11
Donimir,Sheldon,5
Eist,Sheldon,4
Radcliffe,Sheldon,1
Dandelion,Radcliffe,4
Dandelion,Sheldon,2
Dandelion,Vera,2
Abrad,Dezmod,6
Sheldon,Vera,5
Mama,Sheldon,3
Mama,Rience,2
Gruzila,Mama,6
Dandelion,Rience,45
Rience,Yennefer,46
Calanthe,Geralt,7
Dandelion,Vizimir,3
Ciri,Vizimir,4
Ciri,Yennefer,1084
Ciri,Eskel,50
Eskel,Roach,10
Ciri,Roach,25
Lambert,Vesemir,50
Geralt,Vesemir,103
Ciri,Triss,376
Geralt,Lambert,37
Ciri,Lambert,40
Lambert,Triss,52
Eskel,Geralt,23
Triss,Vesemir,47
Triss,Yennefer,368
Eskel,Lambert,18
Lambert,Two,2
Eskel,Triss,24
Nenneke,Triss,67
Triss,Vanielle,2
Ciri,Vanielle,2
Fercart,Keira,6
Artaud,Vilgefortz,29
Artaud,Fercart,6
Fercart,Yennefer,22
Vanielle,Yennefer,9
Roach,Triss,5
Triss,Two,6
Xavier,Yannick,6
Paulie,Xavier,9
Paulie,Regan,27
Geralt,Regan,5
Lucas,Yarpen,4
Geralt,Lucas,3
Geralt,Vilfrid,15
Vilfrid,Yarpen,5
Triss,Yarpen,40
Ciri,Yarpen,62
Ciri,Paulie,9
Regan,Roach,7
Paulie,Yarpen,24
Xavier,Yarpen,10
Regan,Yarpen,17
Regan,Schrader,3
Ciri,Schrader,3
Ciri,Regan,10
King,Zyvik,4
Paulie,Yannick,3
Geralt,Paulie,16
Aelirenn,Ciri,3
Regan,Triss,4
Ciri,Yannick,2
Triss,Yannick,2
Paulie,Roach,5
Regan,Yannick,3
Ciri,Vilfrid,3
Geralt,Radovid,2
Everett,Geralt,22
Boatbug,Nenneke,6
Boatbug,Geralt,17
Geralt,Linus,7
Geralt,Olsen,33
Everett,Olsen,21
Boatbug,Olsen,11
Olsen,Yennefer,1
Olsen,Stran,3
Everett,Stran,5
Stran,Vitek,6
Olsen,Vitek,1
Boatbug,Everett,3
Everett,Vitek,5
Geralt,Vitek,3
Linus,Olsen,4
Everett,Linus,1
Dandelion,Shani,19
Ori,Philippa,4
Geralt,Rience,40
Philippa,Rience,16
Dandelion,Philippa,28
Ori,Rience,2
Geralt,Philippa,62
Philippa,Triss,63
Dandelion,Wolfgang,3
Geralt,Shani,15
Philippa,Shani,7
Philippa,Yennefer,134
Ciri,Rience,24
Foltest,Vizimir,5
Emhyr,Vizimir,20
Ebbing,Emhyr,3
Emhyr,Henselt,5
Foltest,Henselt,5
Emhyr,Foltest,41
Aevenien,Ithlinne,12
Aevenien,Emhyr,5
Meve,Vizimir,7
Esterad,Niedamir,12
Esterad,Vizimir,1
Vilgefortz,Vizimir,6
Foltest,Vilgefortz,10
Emhyr,Vilgefortz,74
Emhyr,Vissegerd,36
Calanthe,Vissegerd,2
Calanthe,Foltest,15
Foltest,Vissegerd,20
Foltest,Meve,16
Meve,Vissegerd,3
Calanthe,Vizimir,5
Calanthe,Meve,4
Foltest,Pavetta,4
Ervyll,Foltest,4
Henselt,Vizimir,6
Calanthe,Emhyr,15
Meve,Niedamir,3
Niedamir,Vissegerd,5
Meve,Virfuril,1
Medell,Virfuril,11
Foltest,Virfuril,6
Foltest,Medell,6
Emhyr,Menno,5
Ciri,Emhyr,90
Ciri,Nenneke,113
Dandelion,Myhrman,1
Geralt,Myhrman,7
Shani,Two,2
Myhrman,Two,1
Flavius,Rizzi,6
Flavius,Lodovico,6
Lodovico,Toublanc,5
Rience,Toublanc,6
Michelet,Rience,6
